pair_id,label,complex,simple,complex_words,simple_words,compression_ratio
CD012936,rephrase,Three studies (146 participants) met our selection criteria.,Three studies involving 146 participants were included in this review.,8,10,1.25
CD012936,split,The three studies assessed palliative care as a home-based intervention.,"All three studies compared palliative care delivered in home visits versus usual care for people with MS. Two studies included only participants with MS. In all three studies, interventions focused on assessment and management of symptoms and end-of-life planning.",10,39,3.9
CD012936,rephrase,"One of the three studies included participants with 'neurodegenerative diseases', with MS people being a subset of the randomised population.",The third study (Ne-PAL) included participants with MS and other neurodegenerative diseases.,20,12,0.6
CD012936,rephrase,"The three included studies did not assess the following outcomes at long term follow-up (> six months post intervention): fatigue, anxiety, depression, disability, cognitive function, relapse-free survival, and sustained progression-free survival.","The included studies did not assess fatigue, cognitive function, relapse-free survival or sustained progression-free survival.",31,15,0.4838709677419355
CD012936,ignore,We did not find any trial that compared different types of palliative care with each other.,We did not find studies that compared different types of palliative care with each other.,16,15,0.9375
CD012936,rephrase,"Based on the findings of the RCTs included in this review, we are uncertain whether palliative care interventions are beneficial for people with MS.",We are uncertain whether palliative care interventions are beneficial for people with MS.,24,13,0.5416666666666666
CD012936,rephrase,"There is low- or very low-certainty evidence regarding the difference between palliative care interventions versus usual care for long-term health-related quality of life, adverse events, and hospital admission in patients with MS. For intermediate-term follow-up, we are also uncertain about the effects of palliative care for the outcomes: health-related quality of life (measured by different assessments: SEIQoL or MSIS), disability, anxiety, and depression.","There is low- or very low-certainty evidence regarding the difference between palliative care interventions versus usual care for long-term health-related quality of life, adverse events and hospital admission.",63,28,0.4444444444444444
CD009102,rephrase,"We included five trials, in which 1406 infants participated.",We found five studies that involved 1406 babies whose breathing was supported with a nasal interface compared to a face mask in the delivery room.,9,25,2.7777777777777777
CD009102,rephrase,They were conducted in 13 neonatal centres across Europe and Australia.,The studies were conducted in high-income countries across Europe and Australia; the largest study included 617 babies and the smallest included 36 babies.,11,23,2.090909090909091
CD009102,rephrase,Each of these trials compared a nasal interface to a face mask for the delivery of respiratory support to newborn infants in the DR.,"We wanted to find out if giving breathing support to babies through their nose (using a nasal prong, a tube that fits into one or both nostrils, or a nasal mask, a mask placed over the nose) would result in less death, intubations, and complications after birth, compared with a face mask or a laryngeal mask airway; or if one type of nasal interface was better than another for the same results.",24,72,3.0
